SECCION,x,y,pan,morena,pri,estrato,dif,ln,estratogeo,estratoele,estratodif,estrato_final,estrato_nombre
1930,-93.07693930259477,16.810373307436368,0.15523932729624837,0.33247089262613194,0.129366106080207,periferia oriente norte,0.17723156532988357,773,6,3,5,5,Periferia norte
1935,-93.08943487802732,16.788205120824614,0.03275109170305677,0.08733624454148471,0.3558951965065502,periferia oriente norte,0.05458515283842794,458,6,3,5,5,Periferia norte
1934,-93.09113137690122,16.788082668351908,0.1476510067114094,0.19966442953020133,0.05536912751677853,periferia oriente norte,0.05201342281879193,596,6,3,5,5,Periferia norte
1932,-93.09264259109439,16.790126147332792,0.03404255319148936,0.13829787234042554,0.39574468085106385,periferia oriente norte,0.10425531914893618,470,6,3,5,5,Periferia norte
1933,-93.09533824537748,16.78995471908274,0.14925373134328357,0.2537313432835821,0.2601279317697228,periferia oriente norte,0.10447761194029853,469,6,3,5,5,Periferia norte
1931,-93.09770955819901,16.78996031815228,0.04206500956022945,0.1739961759082218,0.4435946462715105,periferia oriente norte,0.13193116634799235,523,6,3,5,5,Periferia norte
1937,-93.09637419626519,16.788786115964236,0.2,0.4533333333333333,0.06888888888888889,periferia oriente norte,0.2533333333333333,450,6,5,5,5,Periferia norte
1936,-93.09328693533492,16.78808710055415,0.17089678510998307,0.233502538071066,0.0338409475465313,periferia oriente norte,0.06260575296108292,591,6,3,5,5,Periferia norte
1938,-93.08769277963023,16.787009043083724,0.2685851318944844,0.36930455635491605,0.11990407673860912,periferia oriente norte,0.10071942446043164,417,6,3,5,5,Periferia norte
1942,-93.0897931694541,16.785938916615258,0.21300448430493274,0.3094170403587444,0.06502242152466367,periferia oriente norte,0.09641255605381166,446,6,3,5,5,Periferia norte
1944,-93.09278638734816,16.785618342533823,0.41687344913151364,0.47642679900744417,0.08933002481389578,periferia oriente norte,0.05955334987593053,403,6,5,5,5,Periferia norte
1941,-93.09591464557086,16.78732378646695,0.01757188498402556,0.10702875399361023,0.24281150159744408,periferia oriente norte,0.08945686900958466,626,6,3,5,5,Periferia norte
1940,-93.09775940043508,16.787276537246782,0.13290113452188007,0.2025931928687196,0.05672609400324149,periferia oriente norte,0.06969205834683953,617,6,3,5,5,Periferia norte
1939,-93.09946432559242,16.787078154395267,0.04174573055028463,0.22960151802656548,0.4629981024667932,periferia oriente norte,0.18785578747628084,527,6,3,5,5,Periferia norte
1945,-93.09812023360497,16.78531290524234,0.38095238095238093,0.3968253968253968,0.0873015873015873,periferia oriente norte,0.015873015873015872,504,6,5,5,5,Periferia norte
1949,-93.09922487438203,16.784267103019882,0.22843822843822845,0.26573426573426573,0.07459207459207459,periferia oriente norte,0.03729603729603728,429,6,3,5,5,Periferia norte
1946,-93.09576821915965,16.784902087463376,0.13165680473372782,0.1819526627218935,0.038461538461538464,periferia oriente norte,0.05029585798816569,676,6,3,5,5,Periferia norte
1950,-93.09142341063331,16.78393639939348,0.17990275526742303,0.2739059967585089,0.050243111831442464,periferia oriente norte,0.09400324149108588,617,6,3,5,5,Periferia norte
1948,-93.08896139160473,16.78327583810579,0.09826589595375723,0.1676300578034682,0.0476878612716763,periferia oriente norte,0.06936416184971098,692,6,3,5,5,Periferia norte
1947,-93.08752466920039,16.7836829996259,0.2979942693409742,0.2148997134670487,0.09025787965616046,periferia oriente norte,-0.08309455587392553,698,6,3,3,5,Periferia norte
1955,-93.0904050902065,16.781990364365846,0.2655654383735705,0.25158831003811943,0.03939008894536213,periferia oriente norte,-0.013977128335451061,787,6,3,5,5,Periferia norte
1943,-93.09253224156683,16.781944279903083,0.16544117647058823,0.37316176470588236,0.11764705882352941,periferia oriente norte,0.20772058823529413,544,6,3,5,5,Periferia norte
1951,-93.09501746384858,16.783385171755135,0.176056338028169,0.27699530516431925,0.04929577464788732,periferia oriente norte,0.10093896713615025,426,6,3,5,5,Periferia norte
1952,-93.09660938480152,16.783215602719313,0.30303030303030304,0.21678321678321677,0.04895104895104895,periferia oriente norte,-0.08624708624708627,429,6,3,3,5,Periferia norte
1954,-93.09942476087927,16.783190170813977,0.1412037037037037,0.36574074074074076,0.06712962962962964,periferia oriente norte,0.22453703703703706,432,6,3,5,5,Periferia norte
1956,-93.09993469469633,16.78190827166621,0.21645021645021645,0.2727272727272727,0.07792207792207792,periferia oriente norte,0.05627705627705626,462,6,3,5,5,Periferia norte
1953,-93.09820761457662,16.782096948680266,0.23177570093457944,0.20373831775700935,0.037383177570093455,periferia oriente norte,-0.028037383177570097,535,6,3,5,5,Periferia norte
1959,-93.0967404188833,16.781541861000413,0.13612565445026178,0.3193717277486911,0.08638743455497382,periferia oriente norte,0.18324607329842932,382,6,3,5,5,Periferia norte
1958,-93.09518957246098,16.78170550363133,0.09513742071881606,0.33192389006342493,0.05708245243128964,periferia oriente norte,0.23678646934460887,473,6,3,5,5,Periferia norte
1957,-93.08781314490585,16.779492406493553,0.18766404199475065,0.3241469816272966,0.07480314960629922,periferia oriente norte,0.13648293963254596,762,7,3,5,5,Periferia norte
1961,-93.08566494280714,16.779479842931465,0.15571776155717762,0.4306569343065693,0.11678832116788321,periferia oriente norte,0.2749391727493917,411,7,5,5,5,Periferia norte
1962,-93.08468730360798,16.779818564646423,0.19143576826196473,0.4332493702770781,0.10327455919395466,periferia oriente norte,0.24181360201511337,397,7,5,5,5,Periferia norte
1963,-93.08360172300189,16.779373035314766,0.15040650406504066,0.2703252032520325,0.06504065040650407,periferia oriente norte,0.11991869918699186,492,7,3,5,5,Periferia norte
1960,-93.08295363712784,16.77964286532189,0.10231660231660232,0.2528957528957529,0.12355212355212356,periferia oriente norte,0.15057915057915056,518,7,3,5,5,Periferia norte
1966,-93.08349540002627,16.777641711410688,0.3952483801295896,0.2526997840172786,0.047516198704103674,periferia oriente norte,-0.14254859611231102,463,7,3,3,5,Periferia norte
1965,-93.085345432602,16.777851613529577,0.23649906890130354,0.3687150837988827,0.0856610800744879,periferia oriente norte,0.13221601489757914,537,7,3,5,5,Periferia norte
